Banco de dados, Bancos de dados relacionais, Ciência da computação, Desenvolvimento de software, Gestão de relacionamentos,mpresariais, HTML, Hibernate, JSP (JavaServer Pages), Java, NetBeans
AngularJS, Ciência da computação, Desenvolvimento aplicativos da web, Desenvolvimento de front-end, Java, JavaScript, Linguagens de programação, NestJS, Padrões de codificação, Teste de integração
Automação de testes, Banco de dados, Bancos de dados relacionais, Excelência operacional, Java, Liderança técnica, Linguagens de programação, Programação (computação), React.js, Working Model
Angular (Framework), Banco de dados, Bootstrap, Git, HTML, JQuery, JavaScript, Laravel, PaaS (Plataforma como serviço), TypeScript
Angular (Framework), C (linguagem de programação), C#, Desenvolvimento de back-end, Desenvolvimento de front-end, Desenvolvimento de software, Desenvolvimento full stack, Interface de programação de aplicativos (API)
Automação de QA, Automação de testes, Comunicação, Comunicação oral, Estudos de casos, Inglês, Linguagens de programação, Planejamento de testes, Teste de software, Testes de API
Algoritmos, Análise quantitativa, Computação de alto desempenho, Distributed Computing, Estruturas de dados, Exchange Connectivity, Java, KDB, Servidor de,-mail, Sistemas de negociação,letrônica
Consultoria, Gestão de lucros, perdas, RDBMS, Serviços de consultoria, TSS
.NET Core, .NET Framework, Arquitetura de software, Atualizações de software, Banco de dados, C#, Gestão de dados, Pensamento crítico, Resolução de problemas, Resolving Issues
Algoritmos, Arquitetura de aplicativo, Banco de dados, Bancos de dados relacionais, Ciclo de vida de sistemas de informação, Estruturas de dados, Interface de programação de aplicativos (API), Microsserviços, Programação orientada a objetos (POO), Qualidade de software
Arquitetura Cloud Native, Arquitetura de soluções, Bancos de dados relacionais, Boas práticas de programação, Design arquitetônico, Java, Kotlin, Microsserviços, Padrões de design, Requisitos não funcionais
Banco de dados, Bancos de dados relacionais, Desenvolvimento de arquitetura, Estruturas de dados, JSON, Java, Linguagens de programação, Microsserviços, Programação (computação), Programação orientada a objetos (POO)
Angular (Framework), C#, Ciência da computação, Comunicação, Desenvolvimento de front-end, Design de interface do usuário, Experiência do usuário (UX), Front-end Engineering, Microsserviços, OutSystems
Ciência da computação, Comunicação, HTML, Implementação de software, Resolução de problemas, Solutions Engineering, Vendas técnicas, Web Analytics
Angular (Framework), Aplicativos web, CSS, HTML, Inglês, Java, JavaScript, Microsserviços, Spring Boot, TypeScript
.NET Framework, Angular (Framework), Banco de dados, Bancos de dados relacionais, Bootstrap, C#, CSS, Filas, HTML, TypeScript
AMQP, Barramento de Serviço do Azure, Docker, Git, Inglês, JavaScript, Kubernetes, MongoDB, PostgreSQL, Servidor Apache
AWS Lambda, Ansible, DevOps, GitHub, Google Cloud Platform (GCP), JIRA, Jenkins, Linux, Python, Windows Azure
Comunicação, Fichas técnicas, GitOps, Livros brancos, Object Storage, OpenStack, Pensamento,stratégico, Português, Puppet (Software), Requisitos técnicos
Aquisição de conhecimento, Arquitetura técnica, Conselho técnico, Desenvolvimento de software, Implantação de software, Job Skills, Português, Requisitos técnicos, Resolução de problemas, Tech-Savvy
Angular (Framework), Java
Arquitetura MVC, Arquitetura de software, Design de software, Design técnico, Frameworks de aplicativos, MSTest, Moq, Padrões de design, WCF, xUnit
Angular (Framework), Banco de dados, Bancos de dados relacionais, Bootstrap, Desenvolvimento full stack, HTML, Java, Metodologias Agile, SASS, Spring Framework
Computação,m nuvem, Conformidade regulatória, Consultoria, Desenvolvimento de integração, DevOps, HIS, Inglês, Integração, Interface de programação de aplicativos (API), Trabalho,m,quipe
Analítica de dados, Documentação, Dynatrace, Habilidades analíticas, Inglês, PaaS (Plataforma como serviço), Programação (computação), Resolução de problemas, Solução de problemas técnicos, Trabalho,m,quipe
AKS (Serviço de Kubernetes do Azure), Ansible, Desenvolvimento de software, DevOps, Docker, Fornecimento contínuo, Implantação de software, Integração contínua, Terraform, Windows Azure
CSS, Comunicação, JavaScript, React Native, React.js, Ruby, Ruby on Rails, Stack, Teclado, Twilio
Angular (Framework), Esporte de orientação, JSP (JavaServer Pages), Java, Metodologias ágeis,,m cascata, Programação (computação), REST (Transferência de,stado representacional ), SQL, Suporte técnico, Support Analysts
Análise de sistemas, Computação, Desenvolvimento Java, Interface de programação de aplicativos (API), Java, JavaScript, Microsserviços, PL/SQL, SQL, Spring Framework
Ansys, Engenharia mecânica, Geradores,létricos, Mathcad, Matlab, Padrões internacionais, Processos de fabricação, Processos de montagem, Revisões de design, Suporte técnico
Analítica de dados, Documentação, Dynatrace, Habilidades analíticas, Inglês, PaaS (Plataforma como serviço), Programação (computação), Resolução de problemas, Solução de problemas técnicos, Trabalho,m,quipe
Analítica, Analítica de dados, Arquitetura técnica, Big data, Data warehouse, ESL (Inglês como segunda língua), ETL (Extração, transformação, carregamento), Engenharia de dados, Google BigQuery, Mineração de dados
AKS (Serviço de Kubernetes do Azure), Ansible, Desenvolvimento de software, DevOps, Docker, Fornecimento contínuo, Implantação de software, Integração contínua, Terraform, Windows Azure
CSS, Comunicação, JavaScript, React Native, React.js, Ruby, Ruby on Rails, Stack, Teclado, Twilio
Angular (Framework), CSS, ColdFusion, Cooperativas de crédito, HTML, Java, Linguagens de programação, Modelagem de dados, PHP, Programação (computação)
Análise de sistemas, Computação, Desenvolvimento Java, Interface de programação de aplicativos (API), Java, JavaScript, Microsserviços, PL/SQL, SQL, Spring Framework
Ansys, Engenharia mecânica, Geradores,létricos, Mathcad, Matlab, Padrões internacionais, Processos de fabricação, Processos de montagem, Revisões de design, Suporte técnico
Analítica, Analítica de dados, Arquitetura técnica, Big data, Data warehouse, ESL (Inglês como segunda língua), ETL (Extração, transformação, carregamento), Engenharia de dados, Google BigQuery, Mineração de dados
Desenvolvimento de jogos,letrônicos, Design de jogos, Habilidades analíticas, Jogabilidade, Otimização, Programação (computação), Programação de jogos,letrônicos, Resolução de problemas, Unity3D, Unreal Engine
Administração de sistemas Linux, Computação,m nuvem, DevOps, GitLab, Google Kubernetes Engine (GKE), Inglês, Linux, MongoDB, RabbitMQ, Windows Azure
.NET Framework, Angular (Framework), CSS, Engenharia, HTML, JQuery, JavaScript, Microsoft Office, RabbitMQ, SQL
Avaliação de vulnerabilidades, Comunicação, Comunicação oral, Controles de segurança, Engenharia de segurança de sistemas, Gestão de vulnerabilidade, Modelagem de ameaças, Segurança da informação, Segurança de aplicações, Vulnerability
Análise de negócios, Banco de dados, Banco de dados Oracle, Desenvolvimento Java, Habilidades analíticas, Inglês, Java, Microsserviços, SQL, Trabalho,m,quipe
Desenvolvimento de back-end, Desenvolvimento de sistemas, Desenvolvimento orientado ao comportamento, Java, Lógica de negócios, Microsserviços, Network Provisioning, Projeto orientado por domínio, Spring Boot, Spring Framework
ITIL, JSP (JavaServer Pages), Java, Metodologias Agile, Produtos SAP, SAP ERP, SAP FICO, SAP Netweaver, SAP Portal, SAPUI5
Arquitetura técnica, CSS, Container Orchestration, Desenvolvimento de back-end, Fornecimento contínuo, Integração contínua, Java, Processamento de transação, Serviços Web RESTful, Windows Azure
C (linguagem de programação), C#, Cron, Desenvolvimento de back-end, Inglês, Java, JavaScript, Marketing, Negociação, REST (Transferência de,stado representacional )
.NET Framework, ASP.NET Core, Angular (Framework), AngularJS, Banco de dados, Bancos de dados relacionais, Ciclo de vida de sistemas de informação, Controle de versão, Desenvolvimento de software, Resolução de problemas
Balanceamento de carga, Banco de dados, Comunicação, Desenvolvimento de software, Doutrina, Engenharia de dados, Microsserviços, PHP, Padrões de design, SQL
Ciência da computação, Depuração, Engenharia de Computação, Integração de software, Kernel Linux, Rastreamento de defeitos, Requisitos de sistemas, Requisitos de software, Revisão de código, Sistema operacional de tempo-real
Banco de dados, Bancos de dados relacionais, Desenvolvimento de arquitetura, Estruturas de dados, JSON, Java, Linguagens de programação, Microsserviços, Programação (computação), Programação orientada a objetos (POO)
Ciclo de vida de sistemas de informação, Controle operacional, Desenvolvimento de software, Design detalhado, Metodologias de avaliação, Modelos de dados, Protocolo de resolução de,ndereço (ARP), Realização de testes, Teste de unidade, V&V (Verificação, validação)
Banco de dados SQL, Comunicação, Gerenciamento de dependências, Investigação de fraude, JUnit, Mockito, Prevenção contra fraude, Programação (computação), Programação orientada a objetos (POO), Trabalho,m,quipe
Diagramas de fluxo, Diagramas de fluxo de trabalho, JDBC, JSP (JavaServer Pages), OAuth, OpenID Connect (OIDC), SSH, Scripts de testes, Servlets, Solução de problemas técnicos
Banco de dados, Banco de dados SQL, CSS, HTML, JavaScript, Laravel, PostgreSQL, Programação orientada a objetos (POO), Shell script, Teste de software
Bitbucket, Doutrina, Frameworks Java, Frameworks PHP, Grails, Laravel, Microsserviços, Rust (Linguagem de programação), Spring Framework, Yii
Análise de requisitos, Arquitetura de software, Habilidades organizacionais, Linguagens de programação, Padrões de arquitetura, Padrões de codificação, Process Architecture, Processamento de dados, Programação lógica, Software orientado a objeto
